latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,datetime,area_km2
34.06816,-118.55598,353.95,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,289.65,12.85,N,2025/1/8 9:02,0.2052
34.06847,-118.56038,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,292.72,53.93,N,2025/1/8 9:02,0.2052
34.06874,-118.56408,327.69,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.91,53.93,N,2025/1/8 9:02,0.2052
34.06976,-118.57823,348.44,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.82,18.5,N,2025/1/8 9:02,0.2052
34.07008,-118.58278,334.79,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,329.29,49.02,N,2025/1/8 9:02,0.2052
34.07042,-118.58743,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,306.94,49.02,N,2025/1/8 9:02,0.2052
34.07066,-118.59078,333.97,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.16,12.44,N,2025/1/8 9:02,0.2052
34.07281,-118.62102,338.13,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.92,12.83,N,2025/1/8 9:02,0.2052
34.07308,-118.62469,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,297.17,168.79,N,2025/1/8 9:02,0.2052
34.07401,-118.63757,342.55,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,374.37,0,N,2025/1/8 9:02,0.2052
34.07427,-118.64131,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,287.49,53.83,N,2025/1/8 9:02,0.2052
34.07452,-118.64483,343.98,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.64,53.83,N,2025/1/8 9:02,0.2088
34.07476,-118.64831,325.96,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.06,2.97,N,2025/1/8 9:02,0.2088
34.06932,-118.49903,303.89,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.18,1.81,N,2025/1/8 9:02,0.1995
34.06959,-118.50273,311.62,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.67,1.81,N,2025/1/8 9:02,0.1995
34.07372,-118.5596,309.46,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.33,5.27,N,2025/1/8 9:02,0.2052
34.07402,-118.5638,303.98,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.43,5.27,N,2025/1/8 9:02,0.2052
34.07429,-118.56744,301.11,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.33,2.08,N,2025/1/8 9:02,0.2052
34.07786,-118.6172,301.37,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.54,1.66,N,2025/1/8 9:02,0.2052
34.07811,-118.62066,308.21,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.6,1.66,N,2025/1/8 9:02,0.2052
34.07835,-118.62405,319.32,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.94,6.15,N,2025/1/8 9:02,0.2052
34.07998,-118.64668,313.12,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.28,1.86,N,2025/1/8 9:02,0.2088
34.08023,-118.65038,303.91,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.44,1.86,N,2025/1/8 9:02,0.2088
34.06986,-118.50646,337.03,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.43,36.74,N,2025/1/8 9:02,0.1995
34.07039,-118.51381,341.53,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,320.71,63.6,N,2025/1/8 9:02,0.2052
34.07064,-118.51721,334.68,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,317.22,63.6,N,2025/1/8 9:02,0.2052
34.07088,-118.52055,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,301.5,22.43,N,2025/1/8 9:02,0.2052
34.07112,-118.52385,352.73,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,288.9,22.43,N,2025/1/8 9:02,0.2052
34.07136,-118.52715,352.93,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.49,767.38,N,2025/1/8 9:02,0.2052
34.07162,-118.53076,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,287.82,767.38,N,2025/1/8 9:02,0.2052
34.0719,-118.53461,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,290.74,0,N,2025/1/8 9:02,0.2052
34.07218,-118.53849,354.84,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,287.16,0,N,2025/1/8 9:02,0.2052
34.07244,-118.54211,345.16,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.82,110.76,N,2025/1/8 9:02,0.2052
34.07272,-118.5459,346.46,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.38,110.76,N,2025/1/8 9:02,0.2052
34.07303,-118.55017,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,292.44,42.26,N,2025/1/8 9:02,0.2052
34.07336,-118.55478,330.56,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.82,42.26,N,2025/1/8 9:02,0.2052
34.07859,-118.62736,334.71,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.99,6.15,N,2025/1/8 9:02,0.2052
34.07914,-118.63509,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,284.27,29.94,N,2025/1/8 9:02,0.2052
34.07942,-118.63895,339.81,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.59,4.48,N,2025/1/8 9:02,0.2052
34.0797,-118.64291,323.87,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.59,4.48,N,2025/1/8 9:02,0.2088
34.07481,-118.50183,305.34,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.82,1.81,N,2025/1/8 9:02,0.1995
34.07508,-118.50564,309.6,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.43,36.74,N,2025/1/8 9:02,0.1995
34.07536,-118.50942,316.49,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.41,36.74,N,2025/1/8 9:02,0.1995
34.07925,-118.56282,309.29,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.27,5.27,N,2025/1/8 9:02,0.2052
34.07956,-118.56698,302.09,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.15,2.08,N,2025/1/8 9:02,0.2052
34.08395,-118.62793,301.92,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.48,6.15,N,2025/1/8 9:02,0.2052
34.0842,-118.63136,308.42,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.59,29.94,N,2025/1/8 9:02,0.2052
34.08444,-118.63473,304.67,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.78,29.94,N,2025/1/8 9:02,0.2052
34.08471,-118.63851,299.97,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.29,4.48,N,2025/1/8 9:02,0.2052
34.07563,-118.51314,325.45,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.06,63.6,N,2025/1/8 9:02,0.2052
34.0759,-118.51677,335.42,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.39,63.6,N,2025/1/8 9:02,0.2052
34.07615,-118.52027,350.27,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.8,22.43,N,2025/1/8 9:02,0.2052
34.07639,-118.52349,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,288.65,22.43,N,2025/1/8 9:02,0.2052
34.07738,-118.53729,352.96,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,301.64,0,N,2025/1/8 9:02,0.2052
34.07792,-118.54459,340,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,331.77,110.76,N,2025/1/8 9:02,0.2052
34.07821,-118.54865,346.33,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,304.82,42.26,N,2025/1/8 9:02,0.2052
34.07854,-118.55321,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,304.07,42.26,N,2025/1/8 9:02,0.2052
34.0789,-118.55807,321.54,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.86,5.27,N,2025/1/8 9:02,0.2052
34.05859,-118.49389,299.27,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.52,0.77,N,2025/1/8 9:02,0.1995
34.05885,-118.4977,302.79,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.05,0.77,N,2025/1/8 9:02,0.1995
34.05908,-118.50132,308.52,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.11,6.05,N,2025/1/8 9:02,0.1995
34.06887,-118.65128,318.19,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.13,2.69,N,2025/1/8 9:02,0.2088
34.0691,-118.6548,310.12,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.92,2.69,N,2025/1/8 9:02,0.2088
34.06932,-118.65821,303.48,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.93,0.87,N,2025/1/8 9:02,0.2088
34.06955,-118.66168,297.87,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.32,0.87,N,2025/1/8 9:02,0.2088
34.05933,-118.50504,367,0.35,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,289.6,6.05,N,2025/1/8 9:02,0.1995
34.05957,-118.50871,330,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,287.27,12.08,N,2025/1/8 9:02,0.2052
34.05981,-118.51237,329.16,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.06,12.08,N,2025/1/8 9:02,0.2052
34.06005,-118.51609,333.61,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.5,9.93,N,2025/1/8 9:02,0.2052
34.0603,-118.51975,331.33,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.15,9.93,N,2025/1/8 9:02,0.2052
34.06054,-118.52352,329.2,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.87,4.06,N,2025/1/8 9:02,0.2052
34.0608,-118.5274,327.74,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.42,4.06,N,2025/1/8 9:02,0.2052
34.06104,-118.53109,325.37,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.82,3.7,N,2025/1/8 9:02,0.2052
34.06128,-118.53475,328.08,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.63,3.7,N,2025/1/8 9:02,0.2052
34.06152,-118.53842,329.33,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.31,4.18,N,2025/1/8 9:02,0.2052
34.06177,-118.54221,339.96,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.62,4.18,N,2025/1/8 9:02,0.2052
34.06202,-118.54605,337.64,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.85,6.75,N,2025/1/8 9:02,0.2052
34.06228,-118.55,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,285.63,6.75,N,2025/1/8 9:02,0.2052
34.06254,-118.55392,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,288.59,14.72,N,2025/1/8 9:02,0.2052
34.06277,-118.55746,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,296.63,14.72,N,2025/1/8 9:02,0.2052
34.063,-118.56102,349.26,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,309.33,56.28,N,2025/1/8 9:02,0.2052
34.06345,-118.56774,354.57,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,310.4,35.09,N,2025/1/8 9:02,0.2052
34.06367,-118.57128,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,302.12,35.09,N,2025/1/8 9:02,0.2052
34.06396,-118.57568,334.46,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.36,20.16,N,2025/1/8 9:02,0.2052
34.06425,-118.58015,324.08,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.59,20.16,N,2025/1/8 9:02,0.2052
34.06456,-118.58495,355.75,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,292.83,47.16,N,2025/1/8 9:02,0.2052
34.06482,-118.58883,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,295.31,47.16,N,2025/1/8 9:02,0.2052
34.06501,-118.59169,341.41,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,292.61,12.03,N,2025/1/8 9:02,0.2052
34.06519,-118.59454,353.07,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,294.06,12.03,N,2025/1/8 9:02,0.2052
34.0654,-118.59776,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,295.17,7.38,N,2025/1/8 9:02,0.2052
34.06563,-118.6013,326.49,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.23,7.38,N,2025/1/8 9:02,0.2052
34.06586,-118.6049,336.99,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,289.29,2.73,N,2025/1/8 9:02,0.2052
34.0661,-118.60849,331.9,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.3,2.73,N,2025/1/8 9:02,0.2052
34.06633,-118.61211,346.18,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,287.93,6.93,N,2025/1/8 9:02,0.2052
34.06658,-118.61588,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,293.3,6.93,N,2025/1/8 9:02,0.2052
34.06683,-118.61979,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,297.11,11.85,N,2025/1/8 9:02,0.2052
34.06709,-118.62368,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,301.83,11.85,N,2025/1/8 9:02,0.2052
34.06735,-118.62776,354.24,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,305,223.92,N,2025/1/8 9:02,0.2052
34.06765,-118.63249,337.06,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,312.27,223.92,N,2025/1/8 9:02,0.2052
34.06796,-118.63723,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,295.03,0,N,2025/1/8 9:02,0.2052
34.0682,-118.64095,367,0.36,0.58,2025/1/8,902,N21,VIIRS,h,2.0NRT,288.1,0,N,2025/1/8 9:02,0.2088
34.06841,-118.6442,353.24,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.56,28.37,N,2025/1/8 9:02,0.2088
34.06864,-118.64772,331.02,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.35,28.37,N,2025/1/8 9:02,0.2088
34.06382,-118.49307,299,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.94,0.77,N,2025/1/8 9:02,0.1995
34.06407,-118.49687,301.52,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.49,0.77,N,2025/1/8 9:02,0.1995
34.06431,-118.50049,306.86,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.47,6.05,N,2025/1/8 9:02,0.1995
34.06747,-118.54837,318.26,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.92,6.75,N,2025/1/8 9:02,0.2052
34.06948,-118.57906,314.06,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,289.38,20.16,N,2025/1/8 9:02,0.2052
34.0705,-118.59454,304.67,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.78,12.03,N,2025/1/8 9:02,0.2052
34.07071,-118.59776,299.41,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.33,7.38,N,2025/1/8 9:02,0.2052
34.07093,-118.60106,296.36,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.09,7.38,N,2025/1/8 9:02,0.2052
34.07114,-118.6044,296.24,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.93,2.73,N,2025/1/8 9:02,0.2052
34.07137,-118.6078,296.76,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.09,2.73,N,2025/1/8 9:02,0.2052
34.07159,-118.61119,300.26,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,282.07,6.93,N,2025/1/8 9:02,0.2052
34.07182,-118.61468,305.74,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.56,6.93,N,2025/1/8 9:02,0.2052
34.0743,-118.65285,312.94,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,281.26,2.69,N,2025/1/8 9:02,0.2088
34.07453,-118.65636,304,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.41,0.87,N,2025/1/8 9:02,0.2088
34.07476,-118.65989,296.91,0.36,0.58,2025/1/8,902,N21,VIIRS,n,2.0NRT,280.03,0.87,N,2025/1/8 9:02,0.2088
34.06455,-118.50412,342.38,0.35,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.7,6.05,N,2025/1/8 9:02,0.1995
34.06479,-118.50781,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,303.7,12.08,N,2025/1/8 9:02,0.2052
34.06504,-118.51149,347.27,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,300.18,12.08,N,2025/1/8 9:02,0.2052
34.06527,-118.51509,367,0.36,0.57,2025/1/8,902,N21,VIIRS,h,2.0NRT,296.28,9.93,N,2025/1/8 9:02,0.2052
34.06551,-118.51865,343.18,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,286.38,9.93,N,2025/1/8 9:02,0.2052
34.06575,-118.52221,334.41,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.32,4.06,N,2025/1/8 9:02,0.2052
34.06598,-118.52579,330.05,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.35,4.06,N,2025/1/8 9:02,0.2052
34.06622,-118.52941,328.75,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.52,3.7,N,2025/1/8 9:02,0.2052
34.06646,-118.5331,330,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.06,3.7,N,2025/1/8 9:02,0.2052
34.06671,-118.53688,327.21,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.27,4.18,N,2025/1/8 9:02,0.2052
